10/24/2020,Nazwa,Nazwa potoczna,Oznaczenie,,
0,e100,kurkumina,Nieszkodliwy,,emulgator
1,e101,ryboflawina,Nieszkodliwy,,sojowa
2,e102,tartrazyna,Niebezpieczny,,sojowe
3,e104,żółć chinolinowa,Niebezpieczny,,wiśnia
4,e110,żółć pomarańczowa FCF,Niebezpieczny,,truskawka
5,e120,"kwas karminowy, koszelina",Niebezpieczny,,liofilizowana
6,e122,azorubina,Niebezpieczny,,kwas
7,e123,amarant,Niebezpieczny,,mleko
8,e124,czerwień koszelinowa,Niebezpieczny,,pelne
9,e127,eytrozyna,Niebezpieczny,,proszku
10,e128,czerwień 2G,Niebezpieczny,,lecytyna
11,e129,czerwień Allura AC,Niebezpieczny,,maslo
12,e131,błękit patenowy,Niebezpieczny,,ziemniaczane
13,e132,indygotyna,Niebezpieczny,,oleje
14,e133,błękit brylantowy FCF,Niebezpieczny,,roslinne
15,e140,chlorofil,Nieszkodliwy,,ziemniaki
16,e141,kompleksy miedzi z chlorofilem i jego pochodnymi,Nieszkodliwy,,skrobia
17,e142,zieleń S,Niebezpieczny,,maka
18,e150a,karmel prosty,Niebezpieczny,,pszenna
19,e150b,karmel siarczynowy,Niebezpieczny,,węgla
20,e150c,karmel amoniakalny,Niebezpieczny,,dwutlenek
21,e150d,karmel amoniakalno-siarycznowy,Niebezpieczny,,
22,e151,czerń brylantowa,Niebezpieczny,,
23,e153,węgiel roślinny,Podejrzany,,
24,e154,brąz FK,Niebezpieczny,,
25,e155,brąz HT,Niebezpieczny,,
26,e160a,karoteny,Nieszkodliwy,,
27,e160b,"annato, biksyna, norbiksyna",Niebezpieczny,,
28,e160c,"kapsorubina, kapsantyna, ekstrakt z papryki",Nieszkodliwy,,
29,e160d,likopen,Nieszkodliwy,,
30,e160e,beta-apo-8′-karotenal,Nieszkodliwy,,
31,e160f,ester etylowy beta-apo-8′-karotenowego,Nieszkodliwy,,
32,e161b,luteina,Nieszkodliwy,,
33,e161g,kantaksantyna,Podejrzany,,
34,e162,betanina,Zalecana ostrożność,,
35,e163,antocyjany,Nieszkodliwy,,
36,e170,węglan wapnia,Nieszkodliwy,,
37,e171,dwutlenek tytanu,Podejrzany,,
38,e172,tlenki i wodorotlenki żelaza,Podejrzany,,
39,e173,aluminium,Niebezpieczny,,
40,e174,srebro,Podejrzany,,
41,e175,złoto,Nieszkodliwy,,
42,e180,czerwień litolowa,Niebezpieczny,,
43,e200,kwas sorbowy,Podejrzany,,
44,e202,sorbinian potasu,Podejrzany,,
45,e203,sorbinian wapnia,Podejrzany,,
46,e210,kwas benzoesowy,Niebezpieczny,,
47,e211,benzoesan sodu,Niebezpieczny,,
48,e212,benzoesan potasu,Niebezpieczny,,
49,e213,benzoesan wapnia,Niebezpieczny,,
50,e214,ester etylowy kwasu p-hydroksybenzoesowego,Niebezpieczny,,
51,e215,sól sodowa p-hydroksybenzoesanu etylu,Niebezpieczny,,
52,e216,ester propylowy kwasu p-hydroksybenzoesowego,Niebezpieczny,,
53,e217,sól sodowa p-hydroksybenzoesanu propylu,Niebezpieczny,,
54,e218,ester metylowy kwasu p-hydroksybenzoesowego,Niebezpieczny,,
55,e219,sól sodowa p-hydroksybenzoesanu metylu,Niebezpieczny,,
56,e220,dwutlenek siarki,Niebezpieczny,,
57,e221,siarczyn sodu,Niebezpieczny,,
58,e222,wodorosiarczan sodu,Niebezpieczny,,
59,e223,disiarczan sodu,Niebezpieczny,,
60,e224,disiarczan potasu,Niebezpieczny,,
61,e226,siarczyn wapnia,Niebezpieczny,,
62,e227,wodorosiarczan wapnia,Niebezpieczny,,
63,e228,wodorosiarczyn potasu,Niebezpieczny,,
64,e230,bifenyl,Niebezpieczny,,
65,e231,ortofenylofenol,Niebezpieczny,,
66,e232,ortofenylofenolan sodu,Niebezpieczny,,
67,e234,nizyna,Podejrzany,,
68,e235,natamycyna,Niebezpieczny,,
69,e239,heksametylenoczteroamina,Niebezpieczny,,
70,e242,dwuwęglan dimetylu,Nieszkodliwy,,
71,e249,azotyn potasu,Niebezpieczny,,
72,e250,azotyn sodu,Niebezpieczny,,
73,e251,azotan sodu,Niebezpieczny,,
74,e252,azotan potasu,Niebezpieczny,,
75,e260,kwas octowy,Zalecana ostrożność,,
76,e261,octan potasu,Zalecana ostrożność,,
77,e262,octan sodu,Nieszkodliwy,,
78,e263,octan wapnia,Nieszkodliwy,,
79,e270,kwas mlekowy,Nieszkodliwy,,
80,e280,kwas propionowy,Podejrzany,,
81,e281,propionian sodu,Podejrzany,,
82,e282,propionian wapnia,Podejrzany,,
83,e283,propionian potasu,Podejrzany,,
84,e284,kwas borowy,Niebezpieczny,,
85,e285,tetraboran sodu,Niebezpieczny,,
86,e290,dwutlenek węgla,Zalecana ostrożność,,
87,e296,kwas jabłkowy,Zalecana ostrożność,,
88,e297,kwas fumarowy,Nieszkodliwy,,
89,e300,"kwas askorbinowy, witamina C",Nieszkodliwy,,
90,e301,askorbinian sodu,Nieszkodliwy,,
91,e302,askorbinian wapnia,Nieszkodliwy,,
92,e304,estry kwasów tłuszczowych i kwasu askorbinowego,Nieszkodliwy,,
93,e306,witamina E,Nieszkodliwy,,
94,e307,alfa-tokoferol,Nieszkodliwy,,
95,e308,gamma-tokoferol,Nieszkodliwy,,
96,e309,delta-tokoferol,Nieszkodliwy,,
97,e310,galusan propylu,Niebezpieczny,,
98,e311,galusan oktylu,Podejrzany,,
99,e312,galusan dodecylu,Podejrzany,,
100,e315,kwas izoaskorbinowy,Nieszkodliwy,,
101,e316,izoaskorbinian sodu,Zalecana ostrożność,,
102,e320,butylohydroksyanizol,Zalecana ostrożność,,
103,e321,butylohydroksytoluen,Niebezpieczny,,
104,e322,lecytyny,Zalecana ostrożność,,
105,e325,mleczan sodu,Nieszkodliwy,,
106,e326,mleczan potasu,Zalecana ostrożność,,
107,e327,mleczan wapnia,Podejrzany,,
108,e330,kwas cytrynowy,Podejrzany,,
109,e331,cytryniany sodu,Zalecana ostrożność,,
110,e332,cytryniany potasu,Zalecana ostrożność,,
111,e333,cytryniany wapnia,Zalecana ostrożność,,
112,e334,kwas winowy,Nieszkodliwy,,
113,e335,winiany sodu,Nieszkodliwy,,
114,e336,winiany potasu,Podejrzany,,
115,e337,winian potasowo-sodowy,Nieszkodliwy,,
116,e338,kwas fosforowy,Podejrzany,,
117,e339,fosforany sodu,Nieszkodliwy,,
118,e340,fosforany potasu,Nieszkodliwy,,
